Voyage ID,Vessel name,Voyage itinerary imputed port where began (ptdepimp) place,Voyage itinerary imputed principal place of slave purchase (mjbyptimp) ,Total embarked,Total disembarked,Year of arrival at port of disembarkation,Percent men,Percent women,Percent children,Slaves died during middle passage,Mortality rate,Slaves outcome label
16025,Colston Gally,Bristol,"Africa., port unspecified",270,216,1708,,,,,,Slaves disembarked in Americas
16026,Content Sloop,Bristol,"Africa., port unspecified",121,108,1707,,,,,,Slaves disembarked in Americas
16027,Dorothy,Bristol,Anomabu,521,450,1708,,,,,,Slaves disembarked in Americas
16028,Dover Gally,Bristol,"Africa., port unspecified",233,187,1708,,,,,,Slaves disembarked in Americas
16029,Happy Return,Bristol,Anomabu,346,299,1708,,,,,,Slaves disembarked in Americas
16030,Happy Return,Bristol,Anomabu,200,162,1708,,,,38,0.19,Slaves disembarked in Americas
16032,Queen Anne Gally,Bristol,"Africa., port unspecified",112,90,1707,,,,,,Slaves disembarked in Americas
16033,Stonedge Gally,Bristol,Calabar,208,158,1707,,,,,,Slaves disembarked in Americas
16035,Berkley Gally,Bristol,"Gold Coast, port unspecified",359,310,1708,,,,,,Slaves disembarked in Americas
16036,Colston Gally,Bristol,"Africa., port unspecified",237,190,1708,,,,,,No information on slaves
16038,Happy Return,Bristol,"Africa., port unspecified",180,160,1708,,,,,,Slaves disembarked in Americas
16040,Kent,Bristol,"Africa., port unspecified",175,156,1709,,,,,,Slaves disembarked in Americas
16041,Stonedge Gally,Bristol,"Africa., port unspecified",315,240,1709,,,,,,Slaves disembarked in Americas
16042,Whetstone Gally,Bristol,,,,1708,,,,,,No slaves embarked
16043,William,Bristol,"Africa., port unspecified",236,180,1709,,,,,,Slaves disembarked in Americas
16044,Berkeley Gally,Bristol,Anomabu,405,350,1710,,,,,,Slaves disembarked in Americas
16045,Charles Gally,Bristol,Accra,233,218,1710,,,,15,0.06,Slaves disembarked in Americas
16046,Dorset,Bristol,,,,1709,,,,,,No slaves embarked
16047,Dover Gally,Bristol,"Gold Coast, port unspecified",220,190,1709,,,,,,Slaves disembarked in Americas
16048,Expedition Gally,Bristol,"Gold Coast, port unspecified",168,145,1710,,,,,,Slaves disembarked in Americas
16049,Happy Return,Bristol,Cess,120,95,1710,,,,,,Slaves disembarked in Americas
16050,Henvill Gally,Bristol,"Africa., port unspecified",232,186,1710,,,,,,Slaves disembarked in Americas
16051,Joseph and Thomas,Bristol,Whydah,200,170,1710,,,,30,0.15,Slaves disembarked in Americas
16052,Leopard Gally,Bristol,Calabar,265,201,1710,,,,,,Slaves disembarked in Americas
16053,Martha,Bristol,"Africa., port unspecified",178,158,1710,,,,,,Slaves disembarked in Americas
16054,Union Sloop,Bristol,Cape Lahou,128,113,1710,,,,,,Slaves disembarked in Americas
16055,Africa Gally,Bristol,,,,1710,,,,,,No slaves embarked
16056,Ann,Bristol,"Africa., port unspecified",219,194,1711,,,,,,Slaves disembarked in Americas
16057,Anne and Dorothy,Bristol,Gambia,142,126,1711,,,,,,Slaves disembarked in Americas
16058,Berkeley Gally,Bristol,Cape Coast Castle,428,370,1710,,,,,,Slaves disembarked in Americas
16059,Bridgwater,Bristol,"Africa., port unspecified",237,190,1711,,,,,,Slaves disembarked in Americas
16060,Dover Gally,Bristol,"Africa., port unspecified",306,245,1710,,,,,,Slaves disembarked in Americas
16061,Elizabeth and Sarah,Bristol,"Africa., port unspecified",237,190,1710,,,,,,No information on slaves
16062,Expedition Gally,Bristol,"Africa., port unspecified",237,190,1710,,,,,,Slaves disembarked in Americas
16063,Indian King,Bristol,,,,1710,,,,,,No slaves embarked
16064,Martha,Bristol,,,,1710,,,,,,No slaves embarked
16065,Mary,Bristol,"Africa., port unspecified",121,108,1710,,,,,,Slaves disembarked in Americas
16066,Mermaid,Bristol,"Gold Coast, port unspecified",231,200,1711,,,,,,Slaves disembarked in Americas
16067,Neptune Sloop,Bristol,"Gold Coast, port unspecified",287,248,1711,,,,,,Slaves disembarked in Americas
16068,Pellican,Bristol,"Africa., port unspecified",300,240,1711,,,,,,Slaves disembarked in Americas
16069,Union Gally,Bristol,"Africa., port unspecified",237,190,1710,,,,,,Slaves disembarked in Americas
16070,Way Gally,Bristol,"Africa., port unspecified",237,190,1710,,,,,,Slaves disembarked in Americas
16071,William and Orian,Bristol,"Africa., port unspecified",237,190,1710,,,,,,No information on slaves
16072,Ann,Bristol,"Africa., port unspecified",280,248,1712,,,,,,Slaves disembarked in Americas
16073,Berkeley Gally,Bristol,"Gold Coast, port unspecified",382,330,1711,,,,,,Slaves disembarked in Americas
16074,Dover Gally,Bristol,"Africa., port unspecified",237,190,1711,,,,,,Slaves disembarked in Americas
16075,Dover Gally,Bristol,"Gold Coast, port unspecified",310,268,1712,,,,,,Slaves disembarked in Americas
16076,Fame,Bristol,"Africa., port unspecified",141,113,1711,,,,,,Slaves disembarked in Americas
16077,Jason,Bristol,"Gold Coast, port unspecified",350,278,1711,,,,72,0.21,Slaves disembarked in Americas
16078,Peterboro Frigate,Bristol,Cape Coast Castle,382,330,1711,,,,,,Slaves disembarked in Americas
16079,Portobello Merchant,Bristol,"Gold Coast, port unspecified",278,240,1712,,,,,,Slaves disembarked in Americas
16080,Rachell,Bristol,"Africa., port unspecified",189,169,1712,,,,,,Slaves disembarked in Americas
16081,Sacheverel Gally,Bristol,"Africa., port unspecified",536,429,1712,,,,,,Slaves disembarked in Americas
16082,Tryton,Bristol,"Africa., port unspecified",283,251,1711,,,,,,Slaves disembarked in Americas
16083,Union Sloop,Bristol,"Gold Coast, port unspecified",131,113,1711,,,,,,Slaves disembarked in Americas
16084,Amazonn,Bristol,"Gold Coast, port unspecified",243,210,1713,,,,,,Slaves disembarked in Americas
16085,Anne and Sarah,Bristol,"Africa., port unspecified",237,190,1713,,,,,,Slaves disembarked in Americas
16086,Anne,Bristol,"Africa., port unspecified",148,131,1712,,,,,,No information on slaves
16087,Attempt Gally,Bristol,Whydah,211,180,1713,,,,,,Slaves disembarked in Americas
16088,Berkeley Gally,Bristol,"Africa., port unspecified",412,330,1712,,,,,,Slaves disembarked in Americas
16089,Douglas Frigate,Bristol,"Gold Coast, port unspecified",273,236,1713,,,,,,Slaves disembarked in Americas
16090,Dover Gally,Bristol,Whydah,282,240,1713,,,,,,Slaves disembarked in Americas
16091,Duckinfield,Bristol,"Africa., port unspecified",325,260,1713,,,,,,Slaves disembarked in Americas
16092,Fame,Bristol,"Africa., port unspecified",121,108,1713,,,,,,Slaves disembarked in Americas
16093,Florida Gally,Bristol,"Africa., port unspecified",237,190,1712,,,,,,Slaves disembarked in Americas
16094,Jason Gally,Bristol,"Gold Coast, port unspecified",453,391,1713,,,,,,Slaves disembarked in Americas
16095,Mercy Gally,Bristol,"Africa., port unspecified",273,219,1713,,,,,,Slaves disembarked in Americas
16096,Peterboro Frigate,Bristol,"Africa., port unspecified",400,320,1712,,,,,,Slaves disembarked in Americas
16097,Provis Gally,Bristol,"Africa., port unspecified",300,240,1713,,,,,,Slaves disembarked in Americas
16098,Sacheverell Gally,Bristol,"Gold Coast, port unspecified",204,180,1713,,,,,,Slaves disembarked in Americas
16099,Tunbridge Gally,Bristol,"Africa., port unspecified",312,250,1713,,,,,,Slaves disembarked in Americas
16100,Amazonn,Bristol,,,,1713,,,,,,No slaves embarked
16101,Anna and Sarah,Bristol,"Africa., port unspecified",237,190,1714,,,,,,Slaves disembarked in Americas
16102,Berkeley Gally,Bristol,"Africa., port unspecified",250,200,1714,,,,,,Slaves disembarked in Americas
16103,Boyle Frigate,Bristol,"Gold Coast, port unspecified",252,218,1714,,,,,,Slaves disembarked in Americas
16105,Duckinfield Gally,Bristol,"Africa., port unspecified",412,330,1714,,,,,,Slaves disembarked in Americas
16106,Duke of Cambridge,Bristol,"Africa., port unspecified",125,100,1714,,,,,,Slaves disembarked in Americas
16107,Fame Sloop,Bristol,"Gold Coast, port unspecified",273,236,1714,,,,,,Slaves disembarked in Americas
20883,Happy Return,Bristol,"Gold Coast, port unspecified",160,158,1706,,,,2,0.01,Slaves disembarked in Americas
20928,Berkeley Gally,Bristol,"Gold Coast, port unspecified",324,280,1706,,,,,,Slaves disembarked in Americas
21049, ,Bristol,"Africa., port unspecified",243,195,1686,,,,,,Slaves disembarked in Americas
21257,Society,Bristol,"Africa., port unspecified",162,130,1687,,,,,,Slaves disembarked in Americas
21348,Happy Return,Bristol,"Africa., port unspecified",207,166,1704,,,,,,Slaves disembarked in Americas
21352,Africa,Bristol,"Africa., port unspecified",287,230,1705,,,,,,Slaves disembarked in Americas
21910,Gascoigne,Bristol,Madagascar,192,133,1721,,,,,,Slaves disembarked in Americas
24075,Expedition,Bristol,"Africa., port unspecified",237,190,1708,,,,,,No information on slaves
24085,Return,Bristol,"Africa., port unspecified",148,131,1704,,,,,,No information on slaves
24104,Amesbury Galley,Bristol,"Africa., port unspecified",237,190,1705,,,,,,No information on slaves
24129,Union Galley,Bristol,,,,1706,,,,,,No slaves embarked
24324,Success,Bristol,Calabar,275,209,1740,,,,,,"Slaves embarked, transhipped or no further record"
25836,Sierra Leone,Bristol,Gambia,180,155,1731,,,,,,"Slaves embarked, transhipped or no further record"
25928,Scipio,Bristol,Calabar,276,209,1730,,,,,,Slaves disembarked in Americas
25956,Queen Caroline,Bristol,Sierra Leone estuary,20,,1728,,,,,,"Slaves embarked, transhipped or no further record"
25964,Levant,Bristol,"Africa., port unspecified",271,217,1729,,,,,,Slaves disembarked in Americas
25969,Content,Bristol,Bonny,276,209,1729,,,,,,Slaves disembarked in Americas
26089,Marlborough,Bristol,"Africa., port unspecified",271,217,1729,,,,,,"Slaves embarked, transhipped or no further record"
26168,Berkley,Bristol,"Africa., port unspecified",271,217,1737,,,,,,Slaves disembarked in Americas
26174,Pompey,Bristol,"Africa., port unspecified",240,197,1737,,,,,,Slaves disembarked in Americas
27150,Batchelors Delight,Bristol,"Africa., port unspecified",91,82,1748,,,,,,Slaves disembarked in Americas
27216,Prince William,Bristol,,,,1749,,,,,,No slaves embarked
17150,Williamsburgh,Bristol,"Africa., port unspecified",421,360,1746,,,,,,Slaves disembarked in Americas
17151,Ann,Bristol,Bonny,406,346,1746,,,,60,0.15,Slaves disembarked in Americas
17152,Benin,Bristol,"Africa., port unspecified",271,217,1746,,,,,,Slaves disembarked in Americas
17153,Duke of Queensbury,Bristol,"Africa., port unspecified",299,256,1747,,,,,,Slaves disembarked in Americas
17154,Emperor,Bristol,"Africa., port unspecified",379,324,1747,,,,,,Slaves disembarked in Americas
17155,Fantyn,Bristol,"Africa., port unspecified",271,217,1747,,,,,,Slaves disembarked in Americas
17156,Gracious,Bristol,"Africa., port unspecified",202,173,1747,,,,,,Slaves disembarked in Americas
17157,Jason Gally,Bristol,"Gold Coast, port unspecified",421,360,1747,,,,,,Slaves disembarked in Americas
17158,Levant,Bristol,Sao Tome,542,463,1747,,,,,,Slaves disembarked in Americas
17159,Pearl,Bristol,"Africa., port unspecified",409,350,1747,,,,,,Slaves disembarked in Americas
17160,Southwell,Bristol,"Africa., port unspecified",779,629,1747,,,,150,0.19,Slaves disembarked in Americas
17161,Townsend,Bristol,"Africa., port unspecified",271,217,1746,,,,,,Slaves disembarked in Americas
17162,Victory,Bristol,"Africa., port unspecified",499,400,1747,,,,,,Slaves disembarked in Americas
17163,Vine,Bristol,"Windward Coast, port unspecified",196,,1747,,,,,,Slaves disembarked in Old World
17164,Volunteer,Bristol,"Africa., port unspecified",350,287,1747,,,,,,Slaves disembarked in Americas
17165,Africa,Bristol,"Africa., port unspecified",271,217,1747,,,,,,Slaves disembarked in Americas
17166,Ann Gally,Bristol,"West Central Africa and St. Helena, port unspecified",480,410,1748,,,,,,Slaves disembarked in Americas
17167,Ann,Bristol,"Africa., port unspecified",240,197,1747,,,,,,Slaves disembarked in Americas
17168,Antelope,Bristol,"Gold Coast, port unspecified",262,215,1748,,,,,,Slaves disembarked in Americas
17169,Bonny,Bristol,"Africa., port unspecified",271,217,1747,,,,,,Slaves disembarked in Americas
17170,Bristoll Merchant,Bristol,Bonny,349,269,1747,,,,,,Slaves disembarked in Americas
17171,Broomfield,Bristol,"Africa., port unspecified",233,191,1747,,,,,,Slaves disembarked in Americas
17172,Chard,Bristol,Calabar,244,200,1748,,,,,,Slaves disembarked in Americas
17173,Charming Molly,Bristol,,,,1747,,,,,,No slaves embarked
17174,Duke of Queensbury,Bristol,"West Central Africa and St. Helena, port unspecified",436,373,1748,,,,,,Slaves disembarked in Americas
17175,Earl of Radnor,Bristol,"Africa., port unspecified",271,217,1748,,,,,,Slaves disembarked in Americas
17176,Emperor,Bristol,"West Central Africa and St. Helena, port unspecified",524,384,1748,,,,140,0.27,Slaves disembarked in Americas
17177,Fanny,Bristol,"Gold Coast, port unspecified",191,169,1748,,,,,,Slaves disembarked in Americas
17178,Indian Prince,Bristol,Calabar,328,269,1748,,,,,,Slaves disembarked in Americas
17179,Iris,Bristol,Bonny,260,161,1748,,,,99,0.38,Slaves disembarked in Americas
17180,John and Martha,Bristol,Calabar,276,209,1748,,,,155,,Slaves disembarked in Americas
17181,Juno,Bristol,"Gold Coast, port unspecified",273,241,1748,,,,,,Slaves disembarked in Americas
17182,Louisa,Bristol,Bonny,406,226,1748,,,,180,0.44,Slaves disembarked in Americas
17183,Manchester,Bristol,Calabar,276,209,1747,,,,,,"Slaves embarked, transhipped or no further record"
17184,Nancy,Bristol,,,,1747,,,,,,No slaves embarked
17185,Nightingale,Bristol,"Gold Coast, port unspecified",237,194,1748,,,,,,Slaves disembarked in Americas
17186,Pearl,Bristol,Calabar,400,,1747,,,,70,,Slaves perished with ship
17187,Polly,Bristol,"Gold Coast, port unspecified",387,331,1748,,,,,,Slaves disembarked in Americas
17188,Roebuck,Bristol,"Africa., port unspecified",182,161,1747,,,,,,Slaves disembarked in Americas
17189,Success,Bristol,Calabar,276,209,1748,,,,,,Slaves disembarked in Americas
17190,Swan,Bristol,"West Central Africa and St. Helena, port unspecified",366,300,1748,,,,,,Slaves disembarked in Americas
17191,Swift,Bristol,"Africa., port unspecified",341,280,1747,,,,,,Slaves disembarked in Americas
17192,Tryal,Bristol,"West Central Africa and St. Helena, port unspecified",386,351,1747,,,,,,Slaves disembarked in Americas
17193,Two Brothers,Bristol,"Africa., port unspecified",317,260,1748,,,,,,Slaves disembarked in Americas
17194,Williamsburgh,Bristol,Bonny,427,365,1748,,,,,,Slaves disembarked in Americas
17195,Africa,Bristol,Bonny,220,180,1749,,,,,,Slaves disembarked in Americas
17196,Alexander,Bristol,"Gold Coast, port unspecified",474,405,1749,,,,,,Slaves disembarked in Americas
17197,Amoretta,Bristol,Calabar,226,185,1749,,,,,,Slaves disembarked in Americas
17198,Antelope,Bristol,,,,1748,,,,,,No slaves embarked
17199,Bonny,Bristol,Bonny,276,209,1749,,,,,,Slaves disembarked in Americas
17200,Charming Betty,Bristol,Bonny,276,209,1749,,,,,,Slaves disembarked in Americas
17201,Culloden,Bristol,Bonny,276,209,1749,,,,,,Slaves disembarked in Americas
17202,Earl of Radnor,Bristol,Bonny,276,209,1749,,,,,,Slaves disembarked in Americas
17203,Fly,Bristol,"Gold Coast, port unspecified",244,200,1748,,,,,,Slaves disembarked in Americas
17204,Greyhound,Bristol,"West Central Africa and St. Helena, port unspecified",484,440,1749,,,,,,Slaves disembarked in Americas
17205,Jamaica Packet,Bristol,"Gold Coast, port unspecified",405,332,1749,,,,,,Slaves disembarked in Americas
17206,Jason,Bristol,Cabinda,398,340,1749,,,,,,Slaves disembarked in Americas
17207,Jason,Bristol,"Gold Coast, port unspecified",273,236,1749,,,,,,Slaves disembarked in Americas
17208,Levant,Bristol,Bonny,295,252,1749,,,,,,Slaves disembarked in Americas
17209,Marlborough,Bristol,"Africa., port unspecified",271,217,1748,,,,,,Slaves disembarked in Americas
17210,Molly,Bristol,"Gold Coast, port unspecified",256,210,1749,,,,,,Slaves disembarked in Americas
17211,Montserrat Packet,Bristol,New Calabar,330,140,1748,,,,190,0.58,Slaves perished with ship
17213,Phoenix,Bristol,Cabinda,308,280,1749,,,,,,Slaves disembarked in Americas
17214,Planter,Bristol,Calabar,276,209,1749,,,,,,Slaves disembarked in Americas
17216,Rainbow,Bristol,"Africa., port unspecified",271,217,1748,,,,,,Slaves disembarked in Americas
17217,Southwell,Bristol,Malembo,332,284,1749,,,,,,Slaves disembarked in Americas
17218,Spy,Bristol,"Gold Coast, port unspecified",273,236,1748,,,,,,"Slaves embarked, transhipped or no further record"
17219,Susanna,Bristol,Cabinda,550,470,1749,,,,,,Slaves disembarked in Americas
17220,Swift,Bristol,Anomabu,301,260,1749,,,,,,Slaves disembarked in Americas
17221,Sybylla,Bristol,Benin,367,313,1749,,,,,,Slaves disembarked in Americas
17222,Sylvia,Bristol,"Bight of Benin, port unspecified",370,320,1748,,,,,,Slaves disembarked in Americas
17223,Triton,Bristol,"Gold Coast, port unspecified",273,236,1750,,,,,,Slaves disembarked in Americas
17224,Tryall,Bristol,Malembo,416,356,1749,,,,,,Slaves disembarked in Americas
17225,Volunteer,Bristol,"Gold Coast, port unspecified",256,210,1748,,,,,,Slaves disembarked in Americas
17226,Williamsburgh,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",392,335,1749,,,,,,Slaves disembarked in Americas
17227,Africa,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",341,280,1750,,,,,,Slaves disembarked in Americas
17228,Ann,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1749,,,,,,"Slaves embarked, transhipped or no further record"
17229,Baltimore,Bristol,"Gold Coast, port unspecified",273,236,1749,,,,,,"Slaves embarked, transhipped or no further record"
17230,Chard,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1749,,,,,,Slaves disembarked in Americas
17231,Charming Betty,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",327,280,1750,,,,,,Slaves disembarked in Americas
17232,Duke of Queensbury,Bristol,,,,1749,,,,,,No slaves embarked
17233,Earl of Radnor,Bristol,Calabar,276,,1750,,,,,,Slaves disembarked in Old World
17234,Emperor,Bristol,Malembo,386,351,1749,,,,,,Slaves disembarked in Americas
17235,Fly,Bristol,"Gold Coast, port unspecified",273,236,1750,,,,,,Slaves disembarked in Americas
17236,Greyhound,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",506,384,1750,,,,,,Slaves disembarked in Americas
17237,Hawk,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1750,,,,,,Slaves disembarked in Americas
17238,Hope,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",187,153,1750,,,,,,Slaves disembarked in Americas
17239,Hound,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1750,,,,,,Slaves disembarked in Americas
17240,Indian Prince,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1749,,,,,,Slaves disembarked in Americas
17241,John and Martha,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1750,,,,,,Slaves disembarked in Americas
17242,Juno,Bristol,"Gold Coast, port unspecified",273,236,1750,,,,,,Slaves disembarked in Americas
17243,King David,Bristol,Calabar,276,209,1750,,,,,,Slaves disembarked in Americas
17244,Marlborough,Bristol,"Africa., port unspecified",271,217,1749,,,,,,Slaves disembarked in Americas
17245,Matilda,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1750,,,,,,Slaves disembarked in Americas
17246,Molly,Bristol,"Gold Coast, port unspecified",273,236,1749,,,,,,"Slaves embarked, transhipped or no further record"
17247,Planter,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1750,,,,,,Slaves disembarked in Americas
17248,Polly,Bristol,"Gold Coast, port unspecified",273,236,1750,,,,,,Slaves disembarked in Americas
17249,Rainbow,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",276,209,1750,,,,,,Slaves disembarked in Americas
17250,Roebuck,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",184,140,1749,,,,,,Slaves disembarked in Americas
17251,Success,Bristol,Calabar,276,209,1749,,,,,,Slaves disembarked in Americas
17252,Susanna,Bristol,Malembo,386,351,1750,,,,,,Slaves disembarked in Americas
17253,Swallow,Bristol,New Calabar,276,209,1750,,,,,,Slaves disembarked in Americas
17254,Sylvia,Bristol,Anomabu,273,236,1750,,,,,,Slaves disembarked in Americas
17255,Two Brothers,Bristol,"Gold Coast, port unspecified",273,236,1749,,,,,,Slaves disembarked in Americas
17256,Amoretta,Bristol,"Africa., port unspecified",271,217,1750,,,,,,Slaves disembarked in Americas
17257,Ann Gally,Bristol,Bonny,276,209,1751,,,,,,Slaves disembarked in Americas
17258,Black Prince,Bristol,Calabar,276,209,1750,,,,,,Slaves disembarked in Americas
17259,Chard,Bristol,Bonny,276,,1750,,,,,,Slaves disembarked in Old World
17260,Cornwall,Bristol,Sierra Leone estuary,226,204,1751,,,,,,Slaves disembarked in Americas
17261,Culloden,Bristol,Bonny,276,209,1750,,,,,,Slaves disembarked in Americas
17262,Emperor,Bristol,"Africa., port unspecified",271,217,1750,,,,,,Slaves disembarked in Americas
17263,Halifax,Bristol,Anomabu,400,237,1751,0.38397,0.23207,0.38397,,,Slaves disembarked in Americas
17264,Hope,Bristol,Bonny,276,209,1751,,,,,,Slaves disembarked in Americas
17265,Hound,Bristol,New Calabar,276,209,1751,,,,,,Slaves disembarked in Americas
17266,Indian Queen,Bristol,Anomabu,273,236,1751,,,,,,Slaves disembarked in Americas
17267,Jamaica Packet,Bristol,Calabar,400,260,1750,,,,140,0.35,Slaves disembarked in Americas
17268,Jason Gally,Bristol,Anomabu,273,236,1751,,,,,,Slaves disembarked in Americas
17269,Levant,Bristol,Bonny,276,209,1751,,,,,,Slaves disembarked in Americas
17270,Marlborough,Bristol,"Africa., port unspecified",271,217,1750,,,,,,Slaves disembarked in Americas
17271,Rainbow,Bristol,Bonny,276,209,1751,,,,,,Slaves disembarked in Americas
17272,Sally,Bristol,Bonny,276,209,1751,,,,,,Slaves disembarked in Americas
17273,Sybylla,Bristol,Anomabu,273,236,1751,,,,,,Slaves disembarked in Americas
17274,Thistle,Bristol,Sierra Leone estuary,49,44,1751,,,,,,Slaves disembarked in Americas
17275,Triton,Bristol,Cape Coast Castle,380,350,1752,,,,30,0.08,Slaves disembarked in Americas
17276,Tryal,Bristol,"West Central Africa and St. Helena, port unspecified",493,402,1751,,,,,,Slaves disembarked in Americas
17277,Williamsburgh,Bristol,Bonny,362,295,1751,,,,,,Slaves disembarked in Americas
17278,Africa,Bristol,New Calabar,304,260,1752,,,,,,Slaves disembarked in Americas
17279,Ann Gally,Bristol,Calabar,294,240,1752,,,,,,Slaves disembarked in Americas
17280,Black Prince,Bristol,"Bight of Biafra and Gulf of Guinea Islands, port unspecified",250,214,1752,,,,,,Slaves disembarked in Americas
17281,Bonny,Bristol,Bonny,283,215,1751,,,,,,Slaves disembarked in Americas
17282,Cape Coast,Bristol,Cape Coast Castle,333,285,1752,,,,,,Slaves disembarked in Americas
17283,Delight,Bristol,Calabar,211,160,1752,,,,,,Slaves disembarked in Americas
17284,Earl of Radnor,Bristol,Bonny,395,300,1752,,,,,,Slaves disembarked in Americas
17285,Emperor,Bristol,Calabar,329,250,1752,,,,,,Slaves disembarked in Americas
17286,Fly,Bristol,Anomabu,220,218,1752,,,,2,0.01,Slaves disembarked in Americas
17287,Greyhound,Bristol,"West Central Africa and St. Helena, port unspecified",369,336,1752,,,,,,Slaves disembarked in Americas
17288,Hampton,Bristol,Bonny,335,273,1752,,,,,,Slaves disembarked in Americas
17289,Hawke,Bristol,Bonny,276,209,1751,,,,,,Slaves disembarked in Americas
17290,Indian Prince,Bristol,New Calabar,276,209,1751,,,,,,Slaves disembarked in Americas
17291,Jeronomy,Bristol,Cape Mount (Cape Grand Mount),196,174,1752,,,,,,Slaves disembarked in Americas
17292,Juno,Bristol,"Africa., port unspecified",275,229,1751,,,,,,Slaves disembarked in Americas
17293,Levant,Bristol,Calabar,215,184,1752,,,,,,Slaves disembarked in Americas
17294,Marlborough,Bristol,"Africa., port unspecified",250,208,1751,,,,,,Slaves disembarked in Americas
17295,Matilda,Bristol,New Calabar,230,160,1752,,,,70,0.3,Slaves disembarked in Americas
17296,Molly,Bristol,Bonny,151,129,1751,0.392,0.256,0.352,,,Slaves disembarked in Americas
17297,Penelope,Bristol,"West Central Africa and St. Helena, port unspecified",261,223,1752,,,,,,Slaves disembarked in Americas
17298,Phoenix,Bristol,Anomabu,300,285,1752,,,,15,0.05,Slaves disembarked in Americas
17299,Planter,Bristol,"Africa., port unspecified",250,208,1751,,,,,,Slaves disembarked in Americas
17300,Polly,Bristol,Anomabu,359,293,1753,,,,,,Slaves disembarked in Americas
17301,Susanna,Bristol,Bonny,433,233,1752,,,,200,0.46,Slaves disembarked in Americas
17302,Sybylla,Bristol,Anomabu,200,165,1752,,,,,,Slaves disembarked in Americas
17303,Sylvia,Bristol,Anomabu,220,225,1752,,,,,,Slaves disembarked in Americas
17304,Tryall,Bristol,"Africa., port unspecified",223,182,1752,,,,,,Slaves disembarked in Americas
17305,Africa,Bristol,"Africa., port unspecified",250,208,1753,,,,,,Slaves disembarked in Americas
17306,Black Prince,Bristol,Bonny,276,209,1753,,,,,,Slaves disembarked in Americas
17307,Bonny,Bristol,Calabar,232,189,1753,,,,,,Slaves disembarked in Americas
